order_id,event_id,strategy,side,decision_ts,request_ts,quote_exchange_ts,bid,ask,mid,quote_size,fill_price,qty,gross_notional,fee,cash_before,qty_before,cash_after,qty_after,basis_after,realized_pnl_delta,reason,signal_ts,exit_due_ts,lateness_sec,diag_fill_price,diag_fee,schema
sma_1d_30d_v25_v1:1789905600:BUY,sma_1d_30d_v25_v1:1789905600,sma_1d_30d_v25_v1,BUY,1789910208,1789910208.63,1789910207,80514.69,80514.7,80514.7,,80530.8,0.88080058,70931.57,70.93,100000.0,0.0,28997.49,0.88080058,71002.51,0.0,trend_up_entry,1789905600,,0,80530.8,70.93,1
funding_z168_limit_entry_v1:1790092800:BUY,funding_z168_limit_entry_v1:1790092800,funding_z168_limit_entry_v1,BUY,1790104555,1790104555.42,1790104554,86526.05,86526.06,86526.05,,86477.91,1.15613344,99980.0,20.0,100000.0,0.0,0.0,1.15613344,100000.0,0.0,limit_fill_entry,1790092800,,6210,86543.36,100.06,1
funding_z168_limit_entry_v1:1790139600:SELL,funding_z168_limit_entry_v1:1790092800,funding_z168_limit_entry_v1,SELL,1790144628,1790144628.11,1790144626,86497.45,86497.46,86497.46,,86480.16,1.15613344,99982.6,99.98,0.0,1.15613344,99882.62,0.0,0.0,-117.38,funding_exit_z,1790139600,,1428,86480.16,99.98,1
